DEC_station,DEC_lake_station,decimal_minutes_latitude,decimal_minutes_longitude,degrees_latitude,degrees_longitude
02 - South Lake B,2,43° 42.89',73° 22.98',43.71483333,-73.383
04 - South Lake A,4,43° 57.10',73° 24.47,43.95166667,-73.40783333
07 - Port Henry Segment,7,44° 07.56',73° 24.77',44.126,-73.41283333
09 - Otter Creek Segment,9,44° 14.53',73° 19.75',44.24216667,-73.32916667
16 - Shelburne Bay,16,44° 25.55',73° 13.92',44.42583333,-73.232
19 - Main Lake,19,44° 28.26',73° 17.95',44.471,-73.29916667
21 - Burlington Bay,21,44° 28.49',73° 13.90',44.47483333,-73.23166667
25 - Malletts Bay,25,44° 34.92',73° 16.87',44.582,-73.28116667
33 - Cumberland Bay,33,44° 42.07',73° 25.09',44.70116667,-73.41816667
34 - Northeast Arm,34,44° 42.49',73° 13.61',44.70816667,-73.22683333
36 - Isle LaMotte (off Grand Isle),36,44° 45.37',73° 21.30',44.75616667,-73.355
40 - St. Albans Bay,40,44° 47.12',73° 09.73',44.78533333,-73.16216667
46 - Isle LaMotte (off Rouses Pt),46,44° 56.90',73° 20.40',44.94833333,-73.34
50 - Missisquoi Bay,50,45° 00.80',73° 10.43',45.01333333,-73.17383333
51 - Missisquoi Bay Central,51,45° 02.13',73° 07.53',45.0355,-73.1255
