Report Date,Report Time,Waterbody,Region,Municipality,Site,Station,Bloom Intensity,ApproximateShoreLengthOfBloom,ApproximateOffShoreLengthBloom,Report Frequency,Affiliation,Web Status,Details,Water Temperature,Water Surface,CyanoTaxa,Density,OtherTaxa,Plankton_Sampling_Method,Microcystin,Anatoxin,CYN_uGL,Latitude,Longitude
8/1/2022,10:45 AM,Lake Champlain,Champlain - South Lake,Benson,2,LTM 02,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,76,Rolling,,,,,,,,43.71400891,-73.3830014
8/22/2022,10:00 AM,Lake Champlain,Champlain - South Lake,Benson,2,LTM 02,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,77,Calm,,,,,,,,43.71400891,-73.3830014
10/5/2022,10:30 AM,Lake Champlain,Champlain - South Lake,Benson,2,LTM 02,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,57,Calm,,,,,,,,43.71400891,-73.3830014
10/21/2022,10:30 AM,Lake Champlain,Champlain - South Lake,Benson,2,LTM 02,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,52,Rolling,,,,,,,,43.71400891,-73.3830014
6/23/2022,2:35 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14952128,-73.36736771
6/30/2022,2:50 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1c - No Cyanobacteria Observed - other material present,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14941351,-73.36736771
7/7/2022,1:15 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,,,,44.14952128,-73.36736771
7/14/2022,2:55 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14944665,-73.36734105
7/17/2022,2:23 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14950209,-73.36724824
7/21/2022,11:00 AM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14943828,-73.36737162
7/28/2022,1:30 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.1494713,-73.36732334
8/4/2022,2:30 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14938662,-73.36738771
8/11/2022,2:30 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14939432,-73.36739844
8/14/2022,12:45 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,2 - Cyano present - less than bloom levels (include photos),30 Ft,15 Ft,Supplemental,LCC Volunteer,Low Alert,Shoreline is just moving out of the shade and into the sun.  Bloom may intensify in full sunlight.,,Calm,,,,,,,,44.14943828,-73.36736089
8/15/2022,12:50 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,2 - Cyano present - less than bloom levels (include photos),5-10 ft,30 ft,Supplemental,LCC Volunteer,Low Alert,,,Rolling,,,,,,,,44.149392,-73.36740963
8/16/2022,1:30 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Supplemental,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14943828,-73.3673287
8/18/2022,3:00 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14939838,-73.3673707
8/25/2022,1:15 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14943058,-73.36736089
9/1/2022,2:50 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,White Caps,,,,,,,,44.14938773,-73.36738696
9/8/2022,2:45 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,2 - Cyano present - less than bloom levels (include photos),30 ft,5 ft,Routine - Weekly,LCC Volunteer,Low Alert,,,Calm,,,,,,,,44.14940385,-73.36738935
9/9/2022,3:30 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,3 - Cyano bloom in progress (include photos),60 Ft,5-10 Ft,Supplemental,LCC Volunteer,High Alert,,,Calm,,,,,,,,44.14942631,-73.36741751
9/10/2022,2:45 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Supplemental,LCC Volunteer,Generally Safe,,,Calm,,,,,,,,44.14939612,-73.36738624
9/15/2022,2:45 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,White Caps,,,,,,,,44.14937017,-73.36741533
9/22/2022,4:00 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,White Caps,,,,,,,,44.14944571,-73.36736278
9/29/2022,1:35 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,White Caps,,,,,,,,44.14945262,-73.36731458
10/6/2022,2:00 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,,,,44.14942294,-73.36738319
10/13/2022,12:30 PM,Lake Champlain,Champlain - Main Lake South,Panton,3,Arnold Bay,1a - No Cyanobacteria Observed - clear water,,,Routine - Weekly,LCC Volunteer,Generally Safe,,,Rolling,,,,,,,,44.14944072,-73.36735309
8/1/2022,12:27 PM,Lake Champlain,Champlain - South Lake,Bridport,4,LTM 04,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,76,Rolling,,,,,,,,43.95100895,-73.40700142
8/22/2022,11:00 AM,Lake Champlain,Champlain - South Lake,Bridport,4,LTM 04,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,77,Rolling,,,,,,,,43.95100895,-73.40700142
10/5/2022,11:15 AM,Lake Champlain,Champlain - South Lake,Bridport,4,LTM 04,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,57,Calm,,,,,,,,43.95100895,-73.40700142
10/21/2022,11:00 AM,Lake Champlain,Champlain - South Lake,Bridport,4,LTM 04,1b - No Cyanobacteria Observed - brown or turbid water,,,Routine - Biweekly,VT DEC,Generally Safe,,52,White Caps,,,,,,,,43.95100895,-73.40700142
7/11/2022,10:30 AM,Lake Champlain,Champlain - Main Lake South,Panton,7,LTM 07,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,70,Rolling,Aphanizomenon flos-aquae;Limnotrhix;Microcystis aeruginosa;Aphanothece;Pseudanabaena;Microcystis sp. (pico),23,,net,,,,44.12529038,-73.41283475
7/22/2022,9:30 AM,Lake Champlain,Champlain - Main Lake South,Panton,7,LTM 07,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,73,Calm,Aphanizomenon flos-aquae;Dolichospermum sp;Dolichospermum planctonicum;Limnotrhix;Microcystis aeruginosa,135,,net,,,,44.12600895,-73.41283475
8/19/2022,10:00 AM,Lake Champlain,Champlain - Main Lake South,Panton,7,LTM 07,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,74,Rolling,,,,,,,,44.12600895,-73.41283475
9/19/2022,9:30 AM,Lake Champlain,Champlain - Main Lake South,Panton,7,LTM 07,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,70,Rolling,,,,,,,,44.12600895,-73.41283475
10/6/2022,10:00 AM,Lake Champlain,Champlain - Main Lake South,Panton,7,LTM 07,1d - Little Cyano Observed - recreation not impaired (include photos),,,Routine - Biweekly,VT DEC,Generally Safe,,68,Rolling,,,,,,,,44.12600895,-73.41283475
7/11/2022,11:00 AM,Lake Champlain,Champlain - Main Lake South,Ferrisburg,9,LTM 09,1a - No Cyanobacteria Observed - clear water,,,Routine - Biweekly,VT DEC,Generally Safe,,70,Rolling,,,,,,,,44.24217563,-73.32916809
