vct_report_date,vct_region,vct_water_surface,vct_water_temp,vct_anabaena,vct_aphanizomenon,vct_microcystin,vct_oscillatoria,vct_day_of_year
2015-01-01,Inland Sea,,,,,,,0
2015-01-02,Inland Sea,,,,,,,1
2015-01-03,Inland Sea,,,,,,,2
2015-01-04,Inland Sea,,,,,,,3
2015-01-05,Inland Sea,,,,,,,4
2015-01-06,Inland Sea,,,,,,,5
2015-01-07,Inland Sea,,,,,,,6
2015-01-08,Inland Sea,,,,,,,7
2015-01-09,Inland Sea,,,,,,,8
2015-01-10,Inland Sea,,,,,,,9
2015-01-11,Inland Sea,,,,,,,10
2015-01-12,Inland Sea,,,,,,,11
2015-01-13,Inland Sea,,,,,,,12
2015-01-14,Inland Sea,,,,,,,13
2015-01-15,Inland Sea,,,,,,,14
2015-01-16,Inland Sea,,,,,,,15
2015-01-17,Inland Sea,,,,,,,16
2015-01-18,Inland Sea,,,,,,,17
2015-01-19,Inland Sea,,,,,,,18
2015-01-20,Inland Sea,,,,,,,19
2015-01-21,Inland Sea,,,,,,,20
2015-01-22,Inland Sea,,,,,,,21
2015-01-23,Inland Sea,,,,,,,22
2015-01-24,Inland Sea,,,,,,,23
2015-01-25,Inland Sea,,,,,,,24
2015-01-26,Inland Sea,,,,,,,25
2015-01-27,Inland Sea,,,,,,,26
2015-01-28,Inland Sea,,,,,,,27
2015-01-29,Inland Sea,,,,,,,28
2015-01-30,Inland Sea,,,,,,,29
2015-01-31,Inland Sea,,,,,,,30
2015-02-01,Inland Sea,,,,,,,31
2015-02-02,Inland Sea,,,,,,,32
2015-02-03,Inland Sea,,,,,,,33
2015-02-04,Inland Sea,,,,,,,34
2015-02-05,Inland Sea,,,,,,,35
2015-02-06,Inland Sea,,,,,,,36
2015-02-07,Inland Sea,,,,,,,37
2015-02-08,Inland Sea,,,,,,,38
2015-02-09,Inland Sea,,,,,,,39
2015-02-10,Inland Sea,,,,,,,40
2015-02-11,Inland Sea,,,,,,,41
2015-02-12,Inland Sea,,,,,,,42
2015-02-13,Inland Sea,,,,,,,43
2015-02-14,Inland Sea,,,,,,,44
2015-02-15,Inland Sea,,,,,,,45
2015-02-16,Inland Sea,,,,,,,46
2015-02-17,Inland Sea,,,,,,,47
2015-02-18,Inland Sea,,,,,,,48
2015-02-19,Inland Sea,,,,,,,49
2015-02-20,Inland Sea,,,,,,,50
2015-02-21,Inland Sea,,,,,,,51
2015-02-22,Inland Sea,,,,,,,52
2015-02-23,Inland Sea,,,,,,,53
2015-02-24,Inland Sea,,,,,,,54
2015-02-25,Inland Sea,,,,,,,55
2015-02-26,Inland Sea,,,,,,,56
2015-02-27,Inland Sea,,,,,,,57
2015-02-28,Inland Sea,,,,,,,58
2015-03-01,Inland Sea,,,,,,,59
2015-03-02,Inland Sea,,,,,,,60
2015-03-03,Inland Sea,,,,,,,61
2015-03-04,Inland Sea,,,,,,,62
2015-03-05,Inland Sea,,,,,,,63
2015-03-06,Inland Sea,,,,,,,64
2015-03-07,Inland Sea,,,,,,,65
2015-03-08,Inland Sea,,,,,,,66
2015-03-09,Inland Sea,,,,,,,67
2015-03-10,Inland Sea,,,,,,,68
2015-03-11,Inland Sea,,,,,,,69
2015-03-12,Inland Sea,,,,,,,70
2015-03-13,Inland Sea,,,,,,,71
2015-03-14,Inland Sea,,,,,,,72
2015-03-15,Inland Sea,,,,,,,73
2015-03-16,Inland Sea,,,,,,,74
2015-03-17,Inland Sea,,,,,,,75
2015-03-18,Inland Sea,,,,,,,76
2015-03-19,Inland Sea,,,,,,,77
2015-03-20,Inland Sea,,,,,,,78
