,dtype,non_null,null,pct_null
dec_temperature,float64,2319,595,20.42
dec_chlorophyll-a,float64,2662,252,8.65
dec_total phosphorus,float64,2668,246,8.44
dec_total nitrogen,float64,2668,246,8.44
dec_dissolved phosphorus,float64,2668,246,8.44
dec_secchi depth,float64,2677,237,8.13
vct_water_temp_7days,float64,2793,121,4.15
vct_water_temp_14days,float64,2861,53,1.82
vct_day_of_year,Int64,2914,0,0.0
vct_latitude,float64,2914,0,0.0
vct_aphanizomenon_7days,Int64,2914,0,0.0
vct_microcystin_7days,Int64,2914,0,0.0
vct_target_bloom_intensity_7days,float64,2914,0,0.0
vct_oscillatoria_7days,Int64,2914,0,0.0
vct_target_bloom_7days,Int64,2914,0,0.0
vct_water_surface_7days,float64,2914,0,0.0
vct_longitude,float64,2914,0,0.0
vct_anabaena_7days,Int64,2914,0,0.0
vct_year,Int64,2914,0,0.0
vct_report_date,datetime64[ns],2914,0,0.0
vct_region,string,2914,0,0.0
vct_oscillatoria_14days,Int64,2914,0,0.0
vct_microcystin_14days,Int64,2914,0,0.0
vct_aphanizomenon_14days,Int64,2914,0,0.0
vct_anabaena_14days,Int64,2914,0,0.0
vct_target_bloom_intensity_14days,float64,2914,0,0.0
vct_water_surface_14days,float64,2914,0,0.0
vct_target_bloom_14days,Int64,2914,0,0.0
usgs_water_temp_max_7days,float64,2914,0,0.0
usgs_water_temp_min_14days,float64,2914,0,0.0
usgs_water_temp_mean_14days,float64,2914,0,0.0
usgs_water_temp_min_7days,float64,2914,0,0.0
usgs_water_temp_mean_7days,float64,2914,0,0.0
usgs_conductivity_max_7days,float64,2914,0,0.0
usgs_conductivity_min_7days,float64,2914,0,0.0
usgs_conductivity_mean_7days,float64,2914,0,0.0
usgs_water_temp_max_14days,float64,2914,0,0.0
noaa_air_temp_min,float64,2914,0,0.0
noaa_air_temp_max,float64,2914,0,0.0
noaa_precipitation,float64,2914,0,0.0
usgs_conductivity_mean_14days,float64,2914,0,0.0
usgs_conductivity_min_14days,float64,2914,0,0.0
usgs_conductivity_max_14days,float64,2914,0,0.0
noaa_wind_speed_mean,float64,2914,0,0.0
noaa_wind_speed_2_min,float64,2914,0,0.0
noaa_air_temp_mean,float64,2914,0,0.0
noaa_wind_direction_5_min,float64,2914,0,0.0
noaa_wind_speed_5_min,float64,2914,0,0.0
noaa_snowfall,float64,2914,0,0.0
noaa_wind_direction_2_min,float64,2914,0,0.0
noaa_snow_depth,float64,2914,0,0.0
vct_target_bloom,Int64,2914,0,0.0
vct_target_bloom_intensity,float64,2914,0,0.0
