dec_date,dec_region,dec_total nitrogen,dec_total phosphorus,dec_dissolved phosphorus,dec_chlorophyll-a,dec_secchi depth,dec_temperature
2014-05-07,Main Lake Central,,,,,,
2014-05-08,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-09,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-10,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-11,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-12,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-13,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-14,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-15,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-16,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-17,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-18,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-19,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-20,Main Lake Central,0.37,11.0,7.4,1.87,6.8,
2014-05-21,Main Lake Central,0.405,14.35,8.4,3.83,4.9,9.5
2014-05-22,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-23,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-24,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-25,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-26,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-27,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-28,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-29,Main Lake Central,0.44,17.7,9.4,5.79,3.0,9.5
2014-05-30,Main Lake Central,0.405,16.3,9.2,6.390000000000001,3.25,11.2
2014-05-31,Main Lake Central,0.405,16.3,9.2,6.390000000000001,3.25,11.2
2014-06-01,Main Lake Central,0.405,16.3,9.2,6.390000000000001,3.25,11.2
2014-06-02,Main Lake Central,0.405,16.3,9.2,6.390000000000001,3.25,11.2
2014-06-03,Main Lake Central,0.405,16.3,9.2,6.390000000000001,3.25,11.2
2014-06-04,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-05,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-06,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-07,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-08,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-09,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-10,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-11,Main Lake Central,0.37,14.900000000000002,9.0,6.99,3.5,12.9
2014-06-12,Main Lake Central,0.38249999999999995,16.450000000000003,9.325,4.890000000000001,4.05,15.149999999999999
2014-06-13,Main Lake Central,0.39499999999999996,18.0,9.649999999999999,2.79,4.6,17.4
2014-06-14,Main Lake Central,0.39499999999999996,18.0,9.649999999999999,2.79,4.6,17.4
2014-06-15,Main Lake Central,0.39499999999999996,18.0,9.649999999999999,2.79,4.6,17.4
2014-06-16,Main Lake Central,0.39499999999999996,18.0,9.649999999999999,2.79,4.6,17.4
2014-06-17,Main Lake Central,0.38249999999999995,15.875,8.625,2.165,5.55,16.5
2014-06-18,Main Lake Central,0.38249999999999995,15.875,8.625,2.165,5.55,16.5
2014-06-19,Main Lake Central,0.38249999999999995,15.875,8.625,2.165,5.55,16.5
2014-06-20,Main Lake Central,0.38249999999999995,15.875,8.625,2.165,5.55,16.5
2014-06-21,Main Lake Central,0.38249999999999995,15.875,8.625,2.165,5.55,16.5
2014-06-22,Main Lake Central,0.38249999999999995,15.875,8.625,2.165,5.55,16.5
2014-06-23,Main Lake Central,0.38249999999999995,15.875,8.625,2.165,5.55,16.5
2014-06-24,Main Lake Central,0.3916666666666666,14.85,8.616666666666665,2.2533333333333334,5.533333333333334,17.133333333333333
