vct_region,vct_report_date,vct_target_bloom_intensity_num,vct_target_bloom
Inland Sea,2015-05-31,0.0,False
Inland Sea,2015-06-13,0.0,False
Main Lake Central,2015-06-14,0.25,False
Main Lake North,2015-06-14,0.25,False
Main Lake South,2015-06-14,0.0,False
Missisquoi Bay,2015-06-14,0.25,False
Inland Sea,2015-06-15,0.0,False
Main Lake Central,2015-06-15,0.0,False
Main Lake North,2015-06-15,0.0,False
Main Lake South,2015-06-15,0.0,False
Malletts Bay,2015-06-15,0.5,False
Missisquoi Bay,2015-06-15,0.25,False
St. Albans Bay,2015-06-15,0.0,False
Inland Sea,2015-06-16,0.25,False
Main Lake Central,2015-06-16,0.0,False
Main Lake North,2015-06-16,0.0,False
Main Lake South,2015-06-16,0.25,False
Missisquoi Bay,2015-06-16,0.0,False
St. Albans Bay,2015-06-16,0.0,False
Inland Sea,2015-06-17,0.0,False
Main Lake Central,2015-06-17,0.0,False
Main Lake North,2015-06-17,0.25,False
Main Lake South,2015-06-17,0.0,False
Malletts Bay,2015-06-17,0.25,False
Main Lake Central,2015-06-18,0.25,False
Main Lake South,2015-06-18,0.25,False
Main Lake South,2015-06-19,0.5,False
Missisquoi Bay,2015-06-19,0.0,False
St. Albans Bay,2015-06-19,0.25,False
Main Lake Central,2015-06-20,0.25,False
Main Lake South,2015-06-20,0.25,False
Missisquoi Bay,2015-06-20,0.25,False
Inland Sea,2015-06-21,0.0,False
Main Lake Central,2015-06-21,0.0,False
Main Lake South,2015-06-21,0.25,False
Malletts Bay,2015-06-21,0.25,False
Missisquoi Bay,2015-06-21,0.0,False
Inland Sea,2015-06-22,0.5,False
Main Lake Central,2015-06-22,0.5,False
Main Lake North,2015-06-22,0.25,False
Main Lake South,2015-06-22,0.25,False
Malletts Bay,2015-06-22,0.0,False
Missisquoi Bay,2015-06-22,0.0,False
St. Albans Bay,2015-06-22,0.0,False
Inland Sea,2015-06-23,0.5,False
Main Lake Central,2015-06-23,0.25,False
Main Lake North,2015-06-23,0.25,False
Main Lake South,2015-06-23,0.25,False
Missisquoi Bay,2015-06-23,0.5,False
St. Albans Bay,2015-06-23,0.25,False
Inland Sea,2015-06-24,0.25,False
Main Lake Central,2015-06-24,0.25,False
Main Lake North,2015-06-24,0.5,False
Main Lake South,2015-06-24,0.5,False
Malletts Bay,2015-06-24,0.0,False
Missisquoi Bay,2015-06-24,0.0,False
Main Lake Central,2015-06-25,0.25,False
Main Lake North,2015-06-25,0.0,False
Missisquoi Bay,2015-06-25,0.25,False
Inland Sea,2015-06-26,0.0,False
Main Lake South,2015-06-26,0.25,False
Malletts Bay,2015-06-26,0.0,False
Missisquoi Bay,2015-06-26,0.0,False
St. Albans Bay,2015-06-26,0.25,False
Main Lake Central,2015-06-27,0.25,False
Main Lake North,2015-06-27,0.0,False
Missisquoi Bay,2015-06-27,0.5,False
Inland Sea,2015-06-28,0.0,False
Main Lake Central,2015-06-28,0.25,False
Main Lake South,2015-06-28,0.25,False
Missisquoi Bay,2015-06-28,0.0,False
Inland Sea,2015-06-29,0.25,False
Main Lake Central,2015-06-29,0.0,False
Main Lake North,2015-06-29,0.0,False
Main Lake South,2015-06-29,0.25,False
Malletts Bay,2015-06-29,0.0,False
Missisquoi Bay,2015-06-29,0.0,False
St. Albans Bay,2015-06-29,0.0,False
Inland Sea,2015-06-30,0.5,False
