REPORTDATE,REPORTTIME,WATERBODY,REGION,MUNICIPALITY,SITE,STATION,BLOOMINTENSITY,REPORTFREQUENCY,AFFILIATION,WEBSTATUS,DETAILS,WATERTEMP,WATERSURFACE,CYANOTAXA,OTHERTAXA,MICROCYSTIN,ANATOXIN,LATITUDE,LONGITUDE
06/14/2016,11:00,Lake Champlain,Champlain - South Lake,Orwell,2.0,LTM 02,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Calm,Aphanothece,"diatoms, Chrysophytes, cryptophyte flagellates, Euglenophyta, green algae, unidentified cyanobacteria cells, unidentified cyanobacteria trichome",not tested,not tested,43.714,-73.383
06/24/2016,10:00,Lake Champlain,Champlain - South Lake,Orwell,2.0,LTM 02,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,no potentially toxic cyanobacteria observed,"diatoms, Chrysophytes, cryptophyte flagellates, unidentified cyanobacteria cells",not tested,not tested,43.714,-73.383
07/07/2016,10:00,Lake Champlain,Champlain - South Lake,Orwell,2.0,LTM 02,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,No cyanobacteria detected,"diatoms, Chrysophytes, green algae, cryptophyte flagellates, Dinoflagellates",not tested,not tested,43.714,-73.383
07/26/2016,10:00,Lake Champlain,Champlain - South Lake,Orwell,2.0,LTM 02,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,Aphanizomenon,"diatoms, Chrysophytes, green algae, cryptophyte flagellates, Euglenophyta, unidentified cyanobacteria cells",not tested,not tested,43.714,-73.383
08/09/2016,10:30,Lake Champlain,Champlain - South Lake,Orwell,2.0,LTM 02,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,Pseudanabaena,"diatoms, Chrysophytes, cryptophyte flagellates, Euglenophyta, green algae, unidentified cyanobacteria cells",not tested,not tested,43.714,-73.383
09/15/2016,10:00,Lake Champlain,Champlain - South Lake,Orwell,2.0,LTM 02,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Rolling,no potentially toxic cyanobacteria observed,"diatoms, Chrysophytes, green algae, cryptophyte flagellates, Euglenophyta",not tested,not tested,43.714,-73.383
10/04/2016,10:30,Lake Champlain,Champlain - South Lake,Orwell,2.0,LTM 02,Tiered Alert - Quantitative,Routine - Biweekly,VT DEC,Generally Safe,,,Calm,"Anabaena, Aphanizomenon","diatoms, Chrysophytes, green algae, cryptophyte flagellates, Euglenophyta",not tested,not tested,43.714,-73.383
07/05/2016,12:30,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,72.0,Calm,,,,,44.14973948,-73.3694677
07/11/2016,12:00,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,,Calm,,,,,44.14973948,-73.3694677
07/20/2016,12:55,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,72.0,Calm,,,,,44.14973948,-73.3694677
07/26/2016,13:50,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1b - Little or no BGA present - brown or turbid water,Routine - Weekly,LCC Volunteer,Generally Safe,,74.0,Calm,,,,,44.14973948,-73.3694677
08/03/2016,14:40,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1c - Little or no BGA present - other material present,Routine - Weekly,LCC Volunteer,Generally Safe,,82.0,Calm,,,,,44.14973948,-73.3694677
08/09/2016,14:43,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,79.0,Calm,,,,,44.14973948,-73.3694677
08/18/2016,14:55:00,Lake Champlain,Champlain - Main Lake South,Panton,3.0,Arnold Bay,1a - Little or no BGA present - clear water,Routine - Weekly,LCC Volunteer,Generally Safe,,78.0,Calm,,,,,44.14973948,-73.3694677
