region,vct_report_date,vct_water_surface,vct_water_temp,vct_latitude,vct_longitude,vct_anabaena,vct_aphanizomenon,vct_microcystin,vct_oscillatoria,target_bloom_intensity,target_bloom,vct_water_temp_trailing,vct_water_surface_trailing,vct_anabaena_trailing,vct_aphanizomenon_trailing,vct_microcystin_trailing,vct_oscillatoria_trailing
Inland Sea,2012-07-17,,,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,,,,,,
Inland Sea,2012-07-24,,,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,,,0.0,0.0,0.0,0.0
Inland Sea,2013-06-16,Rolling,40.266666666666666,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,,,,,,
Inland Sea,2013-06-17,Rolling,48.86,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,40.266666666666666,Rolling,0.0,0.0,0.0,0.0
Inland Sea,2013-06-18,Calm,62.0,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,44.56333333333333,Rolling,0.0,0.0,0.0,0.0
Inland Sea,2013-06-21,Calm,0.0,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,50.37555555555556,Rolling,0.0,0.0,0.0,0.0
Inland Sea,2013-06-23,Calm,68.16666666666667,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,37.781666666666666,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-06-24,Calm,75.3,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,43.85866666666667,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-06-25,Rolling,48.57142857142857,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,49.098888888888894,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-06-29,Rolling,72.0,44.8019524203627,-73.25707455088545,0,0,0,0,2,1,49.023537414965986,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-06-30,Calm,67.5,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,51.89559523809524,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-01,Calm,72.975,44.8019524203627,-73.25707455088545,0,0,0,0,1c,0,55.29976190476191,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-02,Calm,53.5,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,58.3141369047619,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-03,Calm,73.0,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,57.2516369047619,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-05,Calm,0.0,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,59.001455026455034,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-07,Calm,76.4,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,59.001455026455034,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-08,Calm,56.375,44.8019524203627,-73.25707455088545,0,1,0,0,1b,0,59.91626984126984,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-09,Calm,78.58333333333333,44.8019524203627,-73.25707455088545,1,0,0,0,1c,0,57.81349206349206,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-10,White Caps,75.2,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,61.14814814814814,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-12,White Caps,0.0,44.8019524203627,-73.25707455088545,0,0,0,0,1c,0,62.55333333333333,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-14,Calm,68.0,44.8019524203627,-73.25707455088545,0,0,0,0,1c,0,56.86666666666667,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-15,Calm,79.17999999999999,44.8019524203627,-73.25707455088545,0,1,0,0,1b,0,55.40333333333333,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-16,Calm,82.575,44.8019524203627,-73.25707455088545,0,1,0,0,1a,0,56.023833333333336,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-20,Rolling,80.4,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,58.93133333333334,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-21,Calm,75.3,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,66.30148148148149,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-22,Calm,78.3,44.8019524203627,-73.25707455088545,0,0,0,0,1c,0,66.17925925925925,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-23,Calm,77.08333333333333,44.8019524203627,-73.25707455088545,1,0,0,0,2,1,68.61537037037039,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-24,Calm,77.0,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,68.4487037037037,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-26,Rolling,0.0,44.8019524203627,-73.25707455088545,0,0,0,0,1b,0,68.64870370370369,Calm,0.0,0.0,0.0,0.0
Inland Sea,2013-07-28,Rolling,37.95,44.8019524203627,-73.25707455088545,0,0,0,0,1a,0,68.64870370370369,Calm,0.0,0.0,0.0,0.0
