Variable 1,Variable 2,Correlation
usgs_water_temp_mean_trailing,usgs_water_temp_max_trailing,1.0
usgs_water_temp_mean_trailing,usgs_water_temp_min_trailing,0.99
noaa_TAVG,noaa_TMAX,0.99
usgs_water_temp_min_trailing,usgs_water_temp_max_trailing,0.98
noaa_TAVG,noaa_TMIN,0.98
noaa_WSF5,noaa_WSF2,0.97
noaa_TMAX,noaa_TMIN,0.94
usgs_conductivity_mean_trailing,usgs_conductivity_min_trailing,0.92
usgs_conductivity_mean_trailing,usgs_conductivity_max_trailing,0.92
dec_temperature,usgs_water_temp_max_trailing,0.87
noaa_WSF2,noaa_AWND,0.87
noaa_WSF5,noaa_AWND,0.87
dec_temperature,usgs_water_temp_mean_trailing,0.86
dec_temperature,usgs_water_temp_min_trailing,0.84
noaa_TMIN,usgs_water_temp_max_trailing,0.82
noaa_TAVG,usgs_water_temp_max_trailing,0.81
noaa_TMAX,usgs_water_temp_max_trailing,0.8
noaa_TMIN,usgs_water_temp_mean_trailing,0.78
dec_dissolved phosphorus,dec_total phosphorus,0.77
noaa_TAVG,usgs_water_temp_mean_trailing,0.76
usgs_conductivity_min_trailing,usgs_conductivity_max_trailing,0.76
noaa_TMAX,usgs_water_temp_mean_trailing,0.75
noaa_TMIN,usgs_water_temp_min_trailing,0.73
dec_temperature,noaa_TMIN,0.71
dec_secchi depth,dec_total phosphorus,-0.7
noaa_TAVG,usgs_water_temp_min_trailing,0.7
dec_temperature,noaa_TAVG,0.7
noaa_TMAX,usgs_water_temp_min_trailing,0.69
noaa_WDF5,noaa_WDF2,0.69
dec_temperature,noaa_TMAX,0.68
dec_chlorophyll-a,dec_total phosphorus,0.67
dec_secchi depth,dec_chlorophyll-a,-0.61
usgs_water_temp_max_trailing,vct_water_temp_trailing,0.55
dec_total phosphorus,dec_total nitrogen,0.55
usgs_water_temp_mean_trailing,vct_water_temp_trailing,0.55
usgs_water_temp_min_trailing,vct_water_temp_trailing,0.54
dec_temperature,vct_water_temp_trailing,0.52
dec_secchi depth,dec_dissolved phosphorus,-0.51
dec_chlorophyll-a,dec_total nitrogen,0.5
noaa_TMAX,vct_water_temp_trailing,0.48
noaa_TAVG,vct_water_temp_trailing,0.45
noaa_TMIN,vct_water_temp_trailing,0.43
dec_dissolved phosphorus,dec_total nitrogen,0.4
noaa_AWND,usgs_water_temp_mean_trailing,-0.4
noaa_AWND,usgs_water_temp_min_trailing,-0.39
dec_secchi depth,dec_total nitrogen,-0.39
noaa_AWND,usgs_water_temp_max_trailing,-0.39
noaa_WSF5,usgs_water_temp_min_trailing,-0.37
noaa_WSF2,usgs_water_temp_min_trailing,-0.36
noaa_WSF5,usgs_water_temp_mean_trailing,-0.36
noaa_WSF2,usgs_water_temp_mean_trailing,-0.36
dec_temperature,noaa_AWND,-0.35
noaa_WSF5,usgs_water_temp_max_trailing,-0.35
noaa_WSF2,usgs_water_temp_max_trailing,-0.34
dec_chlorophyll-a,dec_dissolved phosphorus,0.33
dec_temperature,noaa_WSF5,-0.33
dec_temperature,noaa_WSF2,-0.31
dec_temperature,dec_secchi depth,-0.3
dec_temperature,dec_total phosphorus,0.28
noaa_PRCP,usgs_water_temp_mean_trailing,-0.27
noaa_PRCP,usgs_water_temp_max_trailing,-0.27
noaa_PRCP,usgs_water_temp_min_trailing,-0.27
dec_temperature,dec_dissolved phosphorus,0.26
usgs_conductivity_min_trailing,usgs_water_temp_min_trailing,0.22
noaa_TMAX,noaa_PRCP,-0.22
dec_temperature,noaa_PRCP,-0.22
noaa_WSF5,noaa_PRCP,0.22
noaa_WDF5,usgs_conductivity_min_trailing,-0.21
noaa_AWND,vct_water_temp_trailing,-0.2
usgs_conductivity_min_trailing,usgs_water_temp_mean_trailing,0.2
dec_temperature,dec_chlorophyll-a,0.19
usgs_conductivity_min_trailing,usgs_water_temp_max_trailing,0.19
noaa_WDF5,vct_water_temp_trailing,0.19
noaa_WSF5,noaa_TMIN,-0.18
noaa_AWND,noaa_TMAX,-0.18
usgs_conductivity_mean_trailing,usgs_water_temp_min_trailing,0.18
noaa_WSF2,noaa_TMIN,-0.18
noaa_WSF2,noaa_PRCP,0.17
noaa_WDF2,usgs_conductivity_min_trailing,-0.17
noaa_TAVG,noaa_PRCP,-0.17
noaa_WSF2,usgs_conductivity_max_trailing,0.17
usgs_conductivity_mean_trailing,usgs_water_temp_mean_trailing,0.17
noaa_PRCP,vct_water_temp_trailing,-0.17
usgs_conductivity_mean_trailing,usgs_water_temp_max_trailing,0.16
noaa_WSF5,noaa_TMAX,-0.16
dec_chlorophyll-a,usgs_water_temp_min_trailing,0.16
noaa_AWND,noaa_TMIN,-0.16
noaa_TMIN,usgs_conductivity_min_trailing,0.16
noaa_WSF2,noaa_TMAX,-0.15
noaa_TMIN,usgs_conductivity_mean_trailing,0.15
noaa_AWND,noaa_PRCP,0.15
noaa_PRCP,usgs_conductivity_max_trailing,0.15
noaa_TAVG,noaa_WSF5,-0.15
dec_chlorophyll-a,usgs_water_temp_mean_trailing,0.15
noaa_TAVG,noaa_WSF2,-0.14
noaa_TAVG,noaa_AWND,-0.14
noaa_WSF5,usgs_conductivity_max_trailing,0.14
dec_total phosphorus,vct_water_temp_trailing,0.14
dec_total phosphorus,usgs_water_temp_min_trailing,0.14
dec_secchi depth,noaa_TMAX,-0.13
noaa_WDF5,usgs_conductivity_mean_trailing,-0.13
dec_secchi depth,vct_water_temp_trailing,-0.13
noaa_WDF2,noaa_AWND,-0.13
dec_total phosphorus,usgs_water_temp_mean_trailing,0.13
dec_chlorophyll-a,usgs_water_temp_max_trailing,0.13
dec_chlorophyll-a,noaa_AWND,-0.13
dec_total phosphorus,usgs_water_temp_max_trailing,0.13
dec_secchi depth,usgs_conductivity_min_trailing,0.12
noaa_TAVG,usgs_conductivity_mean_trailing,0.12
dec_chlorophyll-a,noaa_WSF2,-0.12
dec_secchi depth,noaa_TAVG,-0.12
noaa_WSF5,vct_water_temp_trailing,-0.12
dec_chlorophyll-a,noaa_WSF5,-0.12
noaa_TAVG,usgs_conductivity_min_trailing,0.12
noaa_WDF2,usgs_conductivity_mean_trailing,-0.12
dec_dissolved phosphorus,vct_water_temp_trailing,0.11
noaa_WDF2,noaa_TMIN,-0.11
usgs_conductivity_min_trailing,vct_water_temp_trailing,-0.11
noaa_TMIN,noaa_PRCP,-0.11
noaa_WDF5,noaa_WSF2,0.1
